District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,clayskeletal_count,clayskeletal_sum,clayskeletal_mean
SURGUJA,CHHATT|SGARH,,22,"389",441465.84858500003,3852662852.28000020981,158,0,0
T>PI,GUJAR>T,,24,"641",582009.38789999997,3026218034.19999980927,130,0,0
TEHRI GARHW>L,UTTAR>KHAND,,5,"55",546162.69105300005,3806994202.47999954224,158,0,0
THIRUVANANTHAPURAM,KERALA,,32,"565",284814.50549600000,2260982434.44999980927,88,432854,4918.79545454545
TRISS@R,KERALA,,32,"566",401612.68388800003,3066580320.34999942780,121,163475,1351.03305785124
TIKAMGARH,MADHYA PRADESH,,23,"434",422276.71726200002,3580441830.41000032425,151,0,0
TONK,R>JASTH>N,,8,"116",686222.90697200003,6929674533.08999919891,288,0,0
TUMAK@RU,KARN>TAKA,,29,"548",1078480.23784999992,10527504922.89999961853,429,1842533,4294.94871794872
UDAIPUR,R>JASTH>N,,8,"117",876517.42094300000,11261554675.70000076294,468,0,0
UDHAM SINGH NAGAR,UTTAR>KHAND,,5,"56",568974.77209300001,2587998006.05999994278,104,0,0
UDUPI,KARN>TAKA,,29,"549",374693.26696600002,3558589452.55999994278,147,946763,6440.56462585034
UJJAIN,MADHYA PRADESH,,23,"435",723405.04657500004,5867143638.21000003815,242,64828,267.884297520661
UMARIA,MADHYA PRADESH,,23,"436",466708.65887799999,4402124147.07999992371,183,0,0
UNA,HIM>CHAL PRADESH,,2,"26",248758.59424199999,1509874680.54000020027,62,0,0
UNNAO,UTTAR PRADESH,,9,"186",535830.60533299996,4401976319.38000011444,183,0,0
UNOKOTI,TRIPURA,,16,"655",185617.93028299999,662746054.24899995327,26,0,0
UTTARA  KANNADA,KARN>TAKA,,29,"550",787314.51594299998,10132884012.39999961853,414,1276827,3084.1231884058
VADODARA,GUJAR>T,,24,"461",489551.72742399998,3938734370.42000007629,169,0,0
VARANASI,UTTAR PRADESH,,9,"187",293845.54954799998,1474823560.96000003815,62,0,0
VIDISHA,MADHYA PRADESH,,23,"437",682297.63140399999,7022138501.28999996185,293,77598,264.839590443686
VIJAY>PURA,KARN>TAKA,,29,"530",691684.99280500005,10248125367.79999923706,417,480,1.15107913669065
VISAKHAPATNAM,ANDHRA PRADESH,,28,"520",977103.62321800005,11257537814.70000076294,462,689262,1491.90909090909
VIZIANAGARAM,ANDHRA PRADESH,,28,"521",826083.79525400000,5964663298.63999938965,250,413187,1652.748
WAYANAD,KERALA,,32,"567",284707.68680000002,2142431632.15000009537,85,154989,1823.4
WEST,SIKKIM,,11,"228",184178.68424199999,1159130197.07999992371,50,0,0
WEST,DELHI,,7,"85",73954.33820150000,127209041.66100001335,6,0,0
WEST G>RO HILLS,MEGH>LAYA,,17,"278",363414.27007799997,2559181396.59999990463,108,0,0
WEST GODAVARI,ANDHRA PRADESH,,28,"523",622619.44613499998,8121097747.97000026703,330,544755,1650.77272727273
WEST KH>SI HILLS,MEGH>LAYA,,17,"279",414577.57669500000,3772646067.01000022888,160,0,0
WEST NIMAR,MADHYA PRADESH,,23,"414",675714.32309700001,7727280873.23999977112,325,158953,489.086153846154
WEST TRIPURA,TRIPURA,,16,"272",191097.68354900001,906730685.69500005245,38,0,0
Y>DG|R,KARN>TAKA,,29,"635",544018.62208600005,5153341023.22999954224,210,478198,2277.13333333333
Y>NAM,PUDUCHERRY,,34,"601",38726.24405690001,36932146.25429999828,1.51252288560036,0,0
BAUDH (BAUDA),ODISHA,,21,"349",404642.33912100003,2992913213.52999973297,123,0,0
LAWNGTLAI,MIZORAM,,15,"264",511194.19848899997,2333885140.32999992371,98,0,0
SERCHH|P,MIZORAM,,15,"268",315614.09600299998,1389741564.04999995232,59,0,0
KOLASIB,MIZORAM,,15,"263",275719.08113100001,1433545992.07999992371,60,0,0
M>MIT,MIZORAM,,15,"266",420838.46799099998,2948742118.94000005722,123,0,0
LUNGLEI,MIZORAM,,15,"265",483877.32410400000,4363220084.77000045776,181,0,0
M|RPUR,JAMMU AND KASHM|R,,1,,438559.90553799999,3578908207.58999967575,146,0,0
MUZAFFAR>B>D,JAMMU AND KASHM|R,,1,,594020.74539599998,4782216829.89000034332,191,0,0
P@NCH,JAMMU AND KASHM|R,,1,"10",404743.70314000000,4207362940.53999996185,169,0,0
ANANTN>G,JAMMU AND KASHM|R,,1,"1",357458.94899300003,2704591646.40000009537,108,0,0
B>RAM@LA,JAMMU AND KASHM|R,,1,"3",274658.94404300000,2049073981.73000001907,86,0,0
KATHUA,JAMMU AND KASHM|R,,1,"7",312247.41107300000,2461252983.38999986649,101,0,0
UDHAMPUR,JAMMU AND KASHM|R,,1,"14",288814.28985800000,2248373625.73999977112,94,0,0
PRAYAGRAJ,UTTAR PRADESH,,9,"120",578851.53311500000,5265361023.01000022888,221,0,0
RI-BHOI,MEGH>LAYA,,17,"276",404635.82600200002,2282352415.65000009537,93,0,0
SOUTH EAST,DELHI,,7,"670",59431.10730960000,98130518.80679999292,5,0,0
SOUTH WEST KH>SI HILLS,MEGH>LAYA,,17,"658",248011.35333000001,1256652986.00000000000,53,0,0
SOUTH WEST G>RO HILLS,MEGH>LAYA,,17,"663",145899.01570200000,805376078.21399998665,34,0,0
NORTH G>RO HILLS,MEGH>LAYA,,17,"656",282971.27283899998,1201174095.44000005722,47,0,0
WEST JAINTIA HILLS,MEGH>LAYA,,17,"275",299814.13244199997,1730292078.36999964714,71,0,0
>|ZAWL,MIZORAM,,15,"261",553757.08717600000,3063622842.13000011444,124,0,0
BADG>M,JAMMU AND KASHM|R,,1,"2",197128.41684600001,1239938272.34999990463,50,0,0
BANDIPURA,JAMMU AND KASHM|R,,1,"623",420303.21877899999,4029129267.64000034332,159,0,0
GANDERBAL,JAMMU AND KASHM|R,,1,"626",331742.08416099998,1610758400.71000003815,65,0,0
KULG>M,JAMMU AND KASHM|R,,1,"622",254099.48944599999,1252588614.11999988556,52,0,0
KUPWARA,JAMMU AND KASHM|R,,1,"8",285264.23671500001,2733098874.92999982834,111,0,0
