District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,sandy_count,sandy_sum,sandy_mean
NORTH TRIPURA,TRIPURA,,16,"270",316924.45215000003,1293406531.90000009537,53,0,0
NORTH WEST,DELHI,,7,"82",93419.72727940000,149032948.34000000358,7,1516,216.571428571429
N@>PARHA,ODISHA,,21,"368",419771.81935800001,3711854913.36999988556,157,0,0
PAKUR,JH>RKHAND,,20,"337",340590.07903000002,1731475167.26999998093,73,0,0
P>LAKK>D,KERALA,,32,"563",552162.54997199995,4537723823.85000038147,180,0,0
PALAMU,JH>RKHAND,,20,"338",463099.56472199998,4249289634.73999977112,178,0,0
P>LI,R>JASTH>N,,8,"111",870020.43955699995,11919964090.80000114441,491,983940,2003.95112016293
P>NCH MAH>LS,GUJAR>T,,24,"454",461032.23681600002,3158853194.36000013351,133,2579,19.390977443609
PANNA,MADHYA PRADESH,,23,"420",884627.45493999997,6826021233.03999996185,285,51815,181.80701754386
WEST SINGHBHUM,JH>RKHAND,,20,"343",533810.61593800003,6950444307.64999961853,288,0,0
PATTANAMTHITTA,KERALA,,32,"564",408012.02513400000,2716777604.46000003815,107,0,0
PAURI GARHW>L,UTTAR>KHAND,,5,"52",414490.25445399998,5131341078.80000019073,212,59739,281.787735849057
P|L|BH|T,UTTAR PRADESH,,9,"173",596380.04646500002,3641734881.07000017166,151,97814,647.774834437086
PRAKASAM,ANDHRA PRADESH,,28,"517",875362.02812599996,17294622747.00000000000,706,31565,44.7096317280453
PRAT>PGARH,R>JASTH>N,,8,"629",449221.77997500001,4268096507.40000009537,181,0,0
DISPUTED (MANDSAUR & JH>L>W>R),DISPUTED (MADHYA PRADESH & R>JASTH>N),,0,,13397.44972420000,3122206.59617999988,0.129895532337569,0,0
PRATAPGARH,UTTAR PRADESH,,9,"174",526670.54426999995,3572749461.46999979019,146,23965,164.143835616438
PUDUCHERRY,PUDUCHERRY,,34,"600",353092.64223000000,299707106.11400002241,17,0,0
EAST SINGHBHUM,JH>RKHAND,,20,"327",422058.45082799997,3420455093.05000019073,140,0,0
PURI,ODISHA,,21,"369",488488.40506800002,3354937698.23000001907,137,11876,86.6861313868613
RAIBEARELI,UTTAR PRADESH,,9,"175",502659.71795100003,3784149807.07999992371,157,130357,830.299363057325
R>ICH@R,KARN>TAKA,,29,"546",541023.34376900003,8269769313.36999893188,334,0,0
RAIGARH,CHHATT|SGARH,,22,"386",713130.61589899997,6781679873.31999969482,281,0,0
RAIPUR,CHHATT|SGARH,,22,"387",291574.89942300000,2798755299.05999994278,118,0,0
RAISEN,MADHYA PRADESH,,23,"421",787204.11497899995,8152214139.06999969482,342,0,0
R>J NANDGAON,CHHATT|SGARH,,22,"388",766223.94651299994,7780164358.46999931335,326,0,0
RAJGARH,MADHYA PRADESH,,23,"422",463591.49556299997,5929180665.41999912262,247,0,0
R>J SAMAND,R>JASTH>N,,8,"112",701612.53479199996,4452621909.52999973297,183,15370,83.9890710382514
RAMGARH,JH>RKHAND,,20,"607",331867.36426300002,1339974221.28999996185,55,0,0
R>MANAGARAM,KARN>TAKA,,29,"631",463142.65854400001,3508219073.21000051498,141,0,0
R>MPUR,UTTAR PRADESH,,9,"176",405602.54969299998,2291226529.82000017166,94,41177,438.053191489362
RANCHI,JH>RKHAND,,20,"339",615497.77373300004,4794372182.93000030518,203,0,0
RATLAM,MADHYA PRADESH,,23,"423",559323.23673700006,4668623536.01000022888,192,0,0
R>YAGARHA,ODISHA,,21,"370",790225.66347100004,7104622187.62999916077,295,0,0
REWA,MADHYA PRADESH,,23,"424",658363.87564700004,6055963203.36999988556,250,7947,31.788
RUDRAPRAY>G,UTTAR>KHAND,,5,"54",249893.93264300001,1936521456.09999966621,78,86774,1112.48717948718
S>BAR K>NTHA,GUJAR>T,,24,"458",581212.59778099996,4079235142.51000022888,163,0,0
SAGAR,MADHYA PRADESH,,23,"425",1022387.60782999999,9872214409.73999977112,406,0,0
SAH>RANPUR,UTTAR PRADESH,,9,"177",374467.83332600002,3612815417.71000003815,152,165333,1087.71710526316
SAHIBGANJ,JH>RKHAND,,20,"340",312017.89312000002,2101567038.42999982834,86,0,0
SAIHA,MIZORAM,,15,"267",279456.27615900000,1472797725.22000002861,58,0,0
SAMBALPUR,ODISHA,,21,"371",647721.28919499996,6406160531.77000045776,266,0,0
SAMBHAL,UTTAR PRADESH,,9,"659",399084.15324900002,2348855076.11999988556,101,139246,1378.67326732673
SANTKABIRNAGAR,UTTAR PRADESH,,9,"178",392258.32543199998,1582121286.35999965668,64,0,0
SARAIKELA-KHARSAWAN,JH>RKHAND,,20,"341",364986.25641600002,2557734350.03999996185,108,0,0
SATNA,MADHYA PRADESH,,23,"426",1018097.64876999997,7235778804.64999961853,306,0,0
SAW>I M>DHOPUR,R>JASTH>N,,8,"113",570117.24210000003,4839362637.72000026703,206,84830,411.796116504854
SEHORE,MADHYA PRADESH,,23,"427",863302.64957899996,6317351567.76000022888,262,24708,94.3053435114504
SEONI,MADHYA PRADESH,,23,"428",705550.06273899996,8430271480.59000015259,352,0,0
SEPAHIJALA,TRIPURA,,16,"653",261051.75802600000,1018378012.76999986172,42,0,0
SHAHADRA,DELHI,,7,"671",33443.79661550001,33287844.24320000038,1.37561325594297,0,0
SHAHDOL,MADHYA PRADESH,,23,"429",603888.98636099999,5462047268.86999988556,227,267506,1178.44052863436
SH>HJAH>NPUR,UTTAR PRADESH,,9,"180",695415.33557100000,4169028949.40999984741,172,93959,546.273255813953
SH>J>PUR,MADHYA PRADESH,,23,"430",447265.16058299999,3329015915.92000007629,142,0,0
SH>MLI,UTTAR PRADESH,,9,"660",201783.64212300000,1226415733.76999998093,50,88031,1760.62
SHEOPUR,MADHYA PRADESH,,23,"431",548588.24476799998,6358711018.75000095367,270,22383,82.9
SHIMLA,HIM>CHAL PRADESH,,2,"23",551672.20255199994,5007028594.39999961853,205,343697,1676.57073170732
SHIVAMOGGA,KARN>TAKA,,29,"547",746077.36306600005,8394388205.85000038147,341,0,0
SHIVPURI,MADHYA PRADESH,,23,"432",853079.68533300003,9894701466.27000045776,407,0,0
SHR>WASTI,UTTAR PRADESH,,9,"181",302869.70075800002,1864596528.91000008583,78,132530,1699.10256410256
SIDDHARTHNAGAR,UTTAR PRADESH,,9,"182",415859.37724700000,2793412094.75000000000,120,0,0
SIDHI,MADHYA PRADESH,,23,"433",519227.09455099999,4591745506.26000022888,193,0,0
S|KAR,R>JASTH>N,,8,"114",719407.44274800003,7462763686.14000034332,308,2268711,7365.9448051948
SIMDEGA,JH>RKHAND,,20,"342",402245.47269400000,3634647646.56999969482,150,0,0
SINGRAULI,MADHYA PRADESH,,23,"638",511442.16179899999,5543913865.64999961853,229,0,0
SIRMAUR,HIM>CHAL PRADESH,,2,"24",349597.16685899999,2755326032.86000013351,114,36263,318.09649122807
SIROHI,R>JASTH>N,,8,"115",455078.63786399999,4939274829.01000022888,208,328972,1581.59615384615
S|T>PUR,UTTAR PRADESH,,9,"183",540535.80795799999,5539949266.85000038147,233,100370,430.772532188841
SOLAN,HIM>CHAL PRADESH,,2,"25",322063.13591600000,1889942391.94000005722,74,38716,523.189189189189
SONBHADRA,UTTAR PRADESH,,9,"184",572494.99088099995,6621089502.61999988556,280,0,0
SOUTH,DELHI,,7,"83",69956.04237000000,154141201.45100000501,5,0,0
SOUTH,SIKKIM,,11,"227",160104.58771200001,706652227.48599994183,28,0,0
SOUTH ANDAMAN,ANDAMAN & NICOBAR,,35,"602",1785415.55064000003,2546504280.90999984741,100,0,0
SOUTH G>RO HILLS,MEGH>LAYA,,17,"277",286551.38231000002,1765025387.45000004768,73,0,0
SOUTH GOA,GOA,,30,"552",327335.00931699999,1922050729.18999981880,79,0,0
SOUTH TRIPURA,TRIPURA,,16,"271",340006.20764199999,1405518823.23000001907,58,0,0
SOUTH WEST,DELHI,,7,"84",111613.64782400000,274177794.74400001764,9,13405,1489.44444444444
SRIKAKULAM,ANDHRA PRADESH,,28,"519",691140.07522700005,5663014977.94999980927,233,14049,60.2961373390558
SUBARNAPUR,ODISHA,,21,"372",339504.54678300000,2277766431.05000019073,93,0,0
SUKMA,CHHATT|SGARH,,22,"642",629317.53168300004,5319456684.28999996185,221,0,0
SULTANPUR,UTTAR PRADESH,,9,"185",461970.43751500000,2575456889.09000015259,108,0,0
SUNDARGARH,ODISHA,,21,"373",809479.77238300000,9359929189.09000015259,388,0,0
S@RAJPUR,CHHATT|SGARH,,22,"648",585291.43373000005,5245401635.61999988556,220,0,0
SURGUJA,CHHATT|SGARH,,22,"389",441465.84858500003,3852662852.28000020981,158,0,0
T>PI,GUJAR>T,,24,"641",582009.38789999997,3026218034.19999980927,130,0,0
TEHRI GARHW>L,UTTAR>KHAND,,5,"55",546162.69105300005,3806994202.47999954224,158,3245,20.5379746835443
THIRUVANANTHAPURAM,KERALA,,32,"565",284814.50549600000,2260982434.44999980927,88,0,0
TRISS@R,KERALA,,32,"566",401612.68388800003,3066580320.34999942780,121,0,0
TIKAMGARH,MADHYA PRADESH,,23,"434",422276.71726200002,3580441830.41000032425,151,0,0
TONK,R>JASTH>N,,8,"116",686222.90697200003,6929674533.08999919891,288,25406,88.2152777777778
TUMAK@RU,KARN>TAKA,,29,"548",1078480.23784999992,10527504922.89999961853,429,0,0
UDAIPUR,R>JASTH>N,,8,"117",876517.42094300000,11261554675.70000076294,468,35825,76.5491452991453
UDHAM SINGH NAGAR,UTTAR>KHAND,,5,"56",568974.77209300001,2587998006.05999994278,104,37766,363.134615384615
UDUPI,KARN>TAKA,,29,"549",374693.26696600002,3558589452.55999994278,147,232426,1581.12925170068
UJJAIN,MADHYA PRADESH,,23,"435",723405.04657500004,5867143638.21000003815,242,0,0
UMARIA,MADHYA PRADESH,,23,"436",466708.65887799999,4402124147.07999992371,183,233093,1273.73224043716
UNA,HIM>CHAL PRADESH,,2,"26",248758.59424199999,1509874680.54000020027,62,7394,119.258064516129
UNNAO,UTTAR PRADESH,,9,"186",535830.60533299996,4401976319.38000011444,183,196877,1075.8306010929
UNOKOTI,TRIPURA,,16,"655",185617.93028299999,662746054.24899995327,26,0,0
UTTARA  KANNADA,KARN>TAKA,,29,"550",787314.51594299998,10132884012.39999961853,414,107524,259.719806763285
VADODARA,GUJAR>T,,24,"461",489551.72742399998,3938734370.42000007629,169,93181,551.366863905325
VARANASI,UTTAR PRADESH,,9,"187",293845.54954799998,1474823560.96000003815,62,20831,335.983870967742
VIDISHA,MADHYA PRADESH,,23,"437",682297.63140399999,7022138501.28999996185,293,0,0
VIJAY>PURA,KARN>TAKA,,29,"530",691684.99280500005,10248125367.79999923706,417,0,0
VISAKHAPATNAM,ANDHRA PRADESH,,28,"520",977103.62321800005,11257537814.70000076294,462,5736,12.4155844155844
VIZIANAGARAM,ANDHRA PRADESH,,28,"521",826083.79525400000,5964663298.63999938965,250,0,0
WAYANAD,KERALA,,32,"567",284707.68680000002,2142431632.15000009537,85,0,0
WEST,SIKKIM,,11,"228",184178.68424199999,1159130197.07999992371,50,0,0
WEST,DELHI,,7,"85",73954.33820150000,127209041.66100001335,6,0,0
WEST G>RO HILLS,MEGH>LAYA,,17,"278",363414.27007799997,2559181396.59999990463,108,0,0
WEST GODAVARI,ANDHRA PRADESH,,28,"523",622619.44613499998,8121097747.97000026703,330,16943,51.3424242424242
WEST KH>SI HILLS,MEGH>LAYA,,17,"279",414577.57669500000,3772646067.01000022888,160,0,0
WEST NIMAR,MADHYA PRADESH,,23,"414",675714.32309700001,7727280873.23999977112,325,0,0
WEST TRIPURA,TRIPURA,,16,"272",191097.68354900001,906730685.69500005245,38,0,0
Y>DG|R,KARN>TAKA,,29,"635",544018.62208600005,5153341023.22999954224,210,0,0
Y>NAM,PUDUCHERRY,,34,"601",38726.24405690001,36932146.25429999828,1.51252288560036,0,0
BAUDH (BAUDA),ODISHA,,21,"349",404642.33912100003,2992913213.52999973297,123,0,0
LAWNGTLAI,MIZORAM,,15,"264",511194.19848899997,2333885140.32999992371,98,0,0
SERCHH|P,MIZORAM,,15,"268",315614.09600299998,1389741564.04999995232,59,0,0
KOLASIB,MIZORAM,,15,"263",275719.08113100001,1433545992.07999992371,60,0,0
M>MIT,MIZORAM,,15,"266",420838.46799099998,2948742118.94000005722,123,0,0
LUNGLEI,MIZORAM,,15,"265",483877.32410400000,4363220084.77000045776,181,0,0
M|RPUR,JAMMU AND KASHM|R,,1,,438559.90553799999,3578908207.58999967575,146,0,0
MUZAFFAR>B>D,JAMMU AND KASHM|R,,1,,594020.74539599998,4782216829.89000034332,191,195,1.02094240837696
P@NCH,JAMMU AND KASHM|R,,1,"10",404743.70314000000,4207362940.53999996185,169,0,0
ANANTN>G,JAMMU AND KASHM|R,,1,"1",357458.94899300003,2704591646.40000009537,108,0,0
B>RAM@LA,JAMMU AND KASHM|R,,1,"3",274658.94404300000,2049073981.73000001907,86,0,0
KATHUA,JAMMU AND KASHM|R,,1,"7",312247.41107300000,2461252983.38999986649,101,0,0
UDHAMPUR,JAMMU AND KASHM|R,,1,"14",288814.28985800000,2248373625.73999977112,94,0,0
PRAYAGRAJ,UTTAR PRADESH,,9,"120",578851.53311500000,5265361023.01000022888,221,292529,1323.66063348416
RI-BHOI,MEGH>LAYA,,17,"276",404635.82600200002,2282352415.65000009537,93,0,0
SOUTH EAST,DELHI,,7,"670",59431.10730960000,98130518.80679999292,5,0,0
SOUTH WEST KH>SI HILLS,MEGH>LAYA,,17,"658",248011.35333000001,1256652986.00000000000,53,0,0
SOUTH WEST G>RO HILLS,MEGH>LAYA,,17,"663",145899.01570200000,805376078.21399998665,34,0,0
NORTH G>RO HILLS,MEGH>LAYA,,17,"656",282971.27283899998,1201174095.44000005722,47,0,0
WEST JAINTIA HILLS,MEGH>LAYA,,17,"275",299814.13244199997,1730292078.36999964714,71,0,0
>|ZAWL,MIZORAM,,15,"261",553757.08717600000,3063622842.13000011444,124,0,0
BADG>M,JAMMU AND KASHM|R,,1,"2",197128.41684600001,1239938272.34999990463,50,0,0
BANDIPURA,JAMMU AND KASHM|R,,1,"623",420303.21877899999,4029129267.64000034332,159,2936,18.4654088050314
GANDERBAL,JAMMU AND KASHM|R,,1,"626",331742.08416099998,1610758400.71000003815,65,31911,490.938461538462
KULG>M,JAMMU AND KASHM|R,,1,"622",254099.48944599999,1252588614.11999988556,52,0,0
KUPWARA,JAMMU AND KASHM|R,,1,"8",285264.23671500001,2733098874.92999982834,111,0,0
PULWAMA,JAMMU AND KASHM|R,,1,"11",187781.08123600000,889648679.84299993515,36,13072,363.111111111111
R>JAURI,JAMMU AND KASHM|R,,1,"12",308772.18362999998,2604695183.01999998093,109,0,0
R>MBAN,JAMMU AND KASHM|R,,1,"621",166556.49602399999,1273536713.13000011444,52,0,0
RI>SI,JAMMU AND KASHM|R,,1,"627",328241.98691899999,1909557766.34999990463,73,9240,126.575342465753
SHUP|YAN,JAMMU AND KASHM|R,,1,"625",163208.51749599999,501083824.27799999714,21,0,0
SR|NAGAR,JAMMU AND KASHM|R,,1,"13",166004.84483799999,279773782.48799997568,12,9297,774.75
LEH,LAD>KH,,37,"9",3197189.87153000012,153926719386.00000000000,6158,6212113,1008.78743098409
KARGIL,LAD>KH,,37,"6",899717.09777100000,14084689859.00000000000,568,22145,38.987676056338
KISHTW>R,JAMMU AND KASHM|R,,1,"620",569459.85481199995,8089004992.72999858856,328,33179,101.155487804878
DODA,JAMMU AND KASHM|R,,1,"4",292256.66154100001,2377508546.92000007629,94,0,0
S>MBA,JAMMU AND KASHM|R,,1,"624",194152.89096100000,913378106.56299996376,39,0,0
IMPHAL EAST,MANIPUR,Not Verified on Ground,14,"255",179407.79600100001,416259005.40700000525,16,0,0
JIRIBAM,MANIPUR,Not Verified on Ground,14,"713",135285.96350099999,283570156.56099998951,12,0,0
NIV>RI,MADHYA PRADESH,,23,"722",478725.88532000000,1271951993.15000009537,46,0,0
AMRELI,GUJAR>T,,24,"439",726140.54998200003,7047102977.39999961853,293,110458,376.98976109215
DIU,D>DRA & NAGAR HAVELI & DAM>N & DIU,,38,"464",46434.42754230000,37496719.18680000305,1.55499673987909,895.231878833283,575.713026191226
PORBANDAR,GUJAR>T,,24,"456",407904.14511300001,2228573987.05000019073,92,21693,235.79347826087
R>JKOT,GUJAR>T,,24,"457",957842.84052600001,7401928856.42000102997,310,0,0
SURENDRANAGAR,GUJAR>T,,24,"460",980953.51886399998,8825915621.61000061035,372,0,0
BOT>D,GUJAR>T,,24,"676",377376.50241999998,2386757362.44999980927,101,0,0
KHEDA,GUJAR>T,,24,"450",474374.14720399998,3310716481.09999990463,139,7657,55.0863309352518
MAHES>NA,GUJAR>T,,24,"451",610891.06559599994,4248515166.65000057220,180,19466,108.144444444444
G>NDH|NAGAR,GUJAR>T,,24,"446",427525.49850400002,2021995152.24999976158,84,0,0
P>TAN,GUJAR>T,,24,"455",734808.49880499998,5562451842.32999992371,229,70390,307.379912663755
ADILABAD,TELANG>NA,,36,"501",379140.27853700001,3865768521.55999994278,161,0,0
AHAMADNAGAR,MAH>R>SHTRA,,27,"466",1367396.16825999995,16550797348.60000038147,681,0,0
AKOLA,MAH>R>SHTRA,,27,"467",611947.20051100000,5247082318.10999965668,221,0,0
>L|PUR DU>R,WEST BENGAL,,19,"664",347786.12503800000,2696242300.26000022888,113,0,0
AMAR>VATI,MAH>R>SHTRA,,27,"468",932435.49997999996,11762389091.89999961853,482,0,0
AMB>LA,HARY>NA,,6,"58",379482.60359100002,1473787664.59999990463,64,0,0
AMRITSAR,PUNJAB,,3,"27",380102.55344200000,2623105715.40999984741,106,0,0
>NJ>W,ARUN>CHAL PRADESH,,12,"628",389633.47561800003,5812749719.15999984741,238,8702,36.563025210084
AR>RIA,BIH>R,,10,"188",397908.32119799999,2686772169.96000003815,111,157150,1415.76576576577
ARWAL,BIH>R,,10,"611",189576.96761900000,613477203.87000000477,23,0,0
AURANG>B>D,BIH>R,,10,"189",373783.57634600002,3179298175.38000011444,131,0,0
AURANG>B>D,MAH>R>SHTRA,,27,"469",863383.81877300004,9778296575.98999977112,402,0,0
B>NKA,BIH>R,,10,"190",343662.22208699997,2909647845.78999996185,120,0,0
B>NKURA,WEST BENGAL,,19,"305",501616.44086300000,6621369303.62999916077,277,0,0
PURBA BARDDHAM>N,WEST BENGAL,Not Verified on Ground,19,"306",590233.47112700006,5009744684.64999961853,206,0,0
BARN>LA,PUNJAB,,3,"605",246764.00636500001,1386792906.82999992371,58,17348,299.103448275862
BATHINDA,PUNJAB,,3,"28",423493.07555200002,3286728684.71000003815,134,239946,1790.64179104478
BEGUSAR>I,BIH>R,,10,"191",364147.27420699998,1850111712.50000000000,79,7960,100.759493670886
KAIMUR,BIH>R,,10,"200",384239.49537500000,3240662368.19000005722,139,1120,8.05755395683453
BH>GALPUR,BIH>R,,10,"192",385555.72783699998,2459213522.55000019073,99,8695,87.8282828282828
BHAND>RA,MAH>R>SHTRA,,27,"471",500711.94243499998,3987875957.97999954224,166,0,0
BHIW>NI,HARY>NA,,6,"59",386681.01802900003,3186628724.21000003815,132,582164,4410.33333333333
BHOJPUR,BIH>R,,10,"193",288088.09021900001,2299138052.21999979019,94,0,0
B|D,MAH>R>SHTRA,,27,"470",931334.13518999994,10276572845.50000000000,430,0,0
B|RBH@M,WEST BENGAL,,19,"307",664801.03975800006,4374275414.59000015259,179,0,0
BULDH>NA,MAH>R>SHTRA,,27,"472",748817.14751499996,9401299790.44000053406,387,0,0
BUXAR,BIH>R,,10,"194",287685.79189900000,1636235724.34999990463,71,57793,813.985915492958
CHAMOLI,UTTAR>KHAND,,5,"47",522183.06716600002,7618644992.75000095367,310,230468,743.445161290323
CHANDRAPUR,MAH>R>SHTRA,,27,"473",678345.45665299997,10976002007.10000038147,455,0,0
CH>NGL>NG,ARUN>CHAL PRADESH,,12,"229",585539.15823599999,4774119298.39000034332,197,0,0
DAKSHIN DIN>JPUR,WEST BENGAL,,19,"310",409019.23303599999,2149572477.01999998093,85,0,0
DARBHANGA,BIH>R,,10,"195",475578.74386900000,2423611347.50000000000,101,0,0
D>RJILING,WEST BENGAL,,19,"309",341642.31991100003,1976394918.07999992371,80,0,0
DHULE,MAH>R>SHTRA,,27,"474",615312.93389200000,6928963480.86000061035,283,0,0
DIB>NG VALLEY,ARUN>CHAL PRADESH,,12,"230",585432.56627600000,9275386882.01000022888,385,0,0
PAREN,N>G>LAND,,13,"613",291328.07347800001,1758397406.13000011444,78,0,0
EAST KAMENG,ARUN>CHAL PRADESH,,12,"231",393940.01619200001,4257152032.24000024796,177,25021,141.361581920904
PURBA MEDIN|PUR,WEST BENGAL,,19,"317",399699.23537600000,3809310320.48999977112,158,0,0
FAR|D>B>D,HARY>NA,,6,"60",151373.00089800000,718856360.79700005054,30,35884,1196.13333333333
FAR|DKOT,PUNJAB,,3,"29",232052.26959300000,1423775135.23000001907,58,0,0
FATEH>B>D,HARY>NA,,6,"61",325531.83446200000,2453477038.90999984741,99,21616,218.343434343434
FATEHGARH S>HIB,PUNJAB,,3,"30",244335.23536399999,1122052750.53999996185,46,19622,426.565217391304
F>ZILKA,PUNJAB,,3,"651",365353.75426700001,2798830588.69000005722,118,325559,2758.97457627119
F|ROZPUR,PUNJAB,,3,"31",385056.48312100000,2314053247.57000017166,91,232395,2553.79120879121
GADCHIROLI,MAH>R>SHTRA,,27,"475",920122.85880699998,14017683711.00000000000,582,0,0
GAYA,BIH>R,,10,"196",620896.44515199994,4777635300.78999996185,199,0,0
GONDIA,MAH>R>SHTRA,,27,"476",527555.69096399995,4995326134.93000030518,209,0,0
GOP>LGANJ,BIH>R,,10,"197",347790.47249299998,1961517112.42000007629,83,0,0
GURD>SPUR,PUNJAB,,3,"32",329343.61522500002,2552622899.17999982834,105,38046,362.342857142857
GURUGR>M,HARY>NA,,6,"62",248625.67677300001,1209068040.60999989510,51,101274,1985.76470588235
H>ORA,WEST BENGAL,,19,"313",256027.65842399999,1412767027.83999991417,58,175286,3022.1724137931
HINGOLI,MAH>R>SHTRA,,27,"477",498581.11143599998,4555533347.48999977112,188,0,0
HIS>R,HARY>NA,,6,"63",419949.44063700002,3950342805.32000064850,164,176013,1073.25
HOSHI>RPUR,PUNJAB,,3,"33",432605.84803599998,3311392436.65000057220,133,281538,2116.82706766917
HUGLI,WEST BENGAL,,19,"312",505309.74394600000,3032496221.34000015259,129,33677,261.062015503876
HYDERABAD,TELANG>NA,,36,"507",97488.84848460001,186457186.38600000739,8,0,0
JAH>NAB>D,BIH>R,,10,"199",224922.65849900001,901901119.09300005436,37,0,0
JALANDHAR,PUNJAB,,3,"34",455724.59793100000,2578783505.38000011444,104,74770,718.942307692308
JALGAON,MAH>R>SHTRA,,27,"478",824987.50140299997,11369781385.29999923706,471,0,0
J>LNA,MAH>R>SHTRA,,27,"479",700656.75919200003,7419966772.87999916077,311,0,0
JALP>IGURI,WEST BENGAL,,19,"314",457613.01013399998,3305834749.07999944687,138,0,0
JAM@I,BIH>R,,10,"198",405324.44672000001,2982271479.05000019073,127,0,0
JHAJJAR,HARY>NA,,6,"64",309139.08757999999,1798823691.95000004768,78,56224,720.820512820513
J|ND,HARY>NA,,6,"65",405414.55519099999,2649068440.13999986649,110,0,0
KAITHAL,HARY>NA,,6,"66",361977.80249300000,2209712057.94000005722,93,0,0
KAP@RTHALA,PUNJAB,,3,"35",437645.66748900001,1595462047.00000000000,68,89511,1316.33823529412
KARIMNAGAR,TELANG>NA,,36,"508",299187.55706500000,1944842231.25999999046,78,0,0
KARN>L,HARY>NA,,6,"67",349782.07734199998,2405776731.96999979019,96,3116,32.4583333333333
KATIH>R,BIH>R,,10,"201",478940.31666600000,2928810938.65999984741,123,16900,137.39837398374
KHAGARIA,BIH>R,,10,"202",296638.07054400002,1435972672.35999989510,56,40488,723
BHADRADRI KOTHAGUDEM,TELANG>NA,,36,"690",620536.30503199995,6719987898.75000000000,273,0,0
KINNAUR,HIM>CHAL PRADESH,,2,"19",495434.81198100001,6364783590.95000076294,258,130896,507.348837209302
UKHRUL,MANIPUR,Not Verified on Ground,14,"260",269579.39647500002,2011470670.77999973297,83,0,0
PHEK,N>G>LAND,,13,"248",289810.11156300001,1801582664.52000021935,74,0,0
KISHANGANJ,BIH>R,,10,"203",397841.35558199999,1857761059.02000021935,77,24394,316.805194805195
KOCH BIH>R,WEST BENGAL,,19,"308",841654.03021100000,3247437102.73999977112,132,0,0
KOLH>PUR,MAH>R>SHTRA,,27,"480",945182.45642299997,7506208619.80000019073,304,0,0
KOLK>TA,WEST BENGAL,,19,"315",96223.51866360000,178361733.72699999809,6,0,0
KURUKSHETRA,HARY>NA,,6,"68",263847.59519399999,1629906619.71000003815,64,0,0
KURUNG KUMEY,ARUN>CHAL PRADESH,,12,"233",350111.36437299999,4293936005.40999984741,175,16214,92.6514285714286
L>HUL & SPITI,HIM>CHAL PRADESH,,2,"21",925110.63325800002,13723849956.00000000000,562,129322,230.110320284698
LAKH|SAR>I,BIH>R,,10,"204",227780.12427199999,1174137501.55999994278,47,14219,302.531914893617
L>T@R,MAH>R>SHTRA,,27,"481",549557.84813800000,6991881390.97999954224,285,0,0
LOHIT,ARUN>CHAL PRADESH,,12,"234",380960.13075999997,2950775016.21000003815,124,31549,254.427419354839
LOWER DIB>NG VALLEY,ARUN>CHAL PRADESH,,12,"235",406120.97715699999,3423274244.53999996185,142,3591,25.2887323943662
LUDHI>NA,PUNJAB,,3,"36",398856.01997000002,3599128291.44000053406,148,179309,1211.5472972973
MADHEPURA,BIH>R,,10,"205",348104.04725399998,1739730361.65000009537,74,289943,3918.14864864865
MADHUBANI,BIH>R,,10,"206",479370.37418099999,3372295594.54000043869,143,133572,934.06993006993
MAHABUBNAGAR,TELANG>NA,,36,"512",430286.90713700000,2736448853.40000009537,110,0,0
MAHARAJGANJ,UTTAR PRADESH,,9,"164",404449.08306600002,2839810871.63999986649,117,0,0
MAHENDRAGARH,HARY>NA,,6,"69",396168.04348400002,1869906630.48000001907,74,309939,4188.36486486487
M>LDAH,WEST BENGAL,,19,"316",483310.58824999997,3452047666.05000066757,143,0,0
M>NSA,PUNJAB,,3,"37",345168.46661100001,2110335727.31999969482,85,67550,794.705882352941
SIDDIPET,TELANG>NA,,36,"692",405896.36558200000,3601690110.63999938965,145,0,0
MEW>T,HARY>NA,,6,"604",337936.48281299998,1463782591.41000008583,60,164402,2740.03333333333
MOGA,PUNJAB,,3,"38",305850.12339500000,2194885167.26999998093,92,33327,362.25
WOKHA,N>G>LAND,,13,"250",255022.83165400001,1548103979.91000008583,66,0,0
SRI MUKTSAR S>HIB,PUNJAB,,3,"39",353904.86416300002,2570525722.42999982834,106,130449,1230.65094339623
MUMBAI CITY,MAH>R>SHTRA,,27,"482",61422.97777950000,62033859.23340000212,2.56156396724948,0,0
MUNGER,BIH>R,,10,"207",268751.40835099999,1357713390.55999994278,56,670,11.9642857142857
MURSHID>B>D,WEST BENGAL,,19,"319",588272.80735500006,5141584760.21000003815,213,0,0
MUZAFFARPUR,BIH>R,,10,"208",427403.51451200002,3060657836.90999937057,126,0,0
NADIA,WEST BENGAL,,19,"320",684999.08419900003,3746173399.92999982834,158,32441,205.322784810127
N>GPUR,MAH>R>SHTRA,,27,"484",650985.89803699998,9538672320.57999992371,397,0,0
N>LANDA,BIH>R,,10,"209",407293.66629999998,2278188021.63999986649,94,0,0
NALGONDA,TELANG>NA,,36,"514",470569.74056700000,7030889222.38000011444,285,0,0
N>NDED,MAH>R>SHTRA,,27,"485",1053017.43072999991,10199321660.60000038147,424,0,0
NANDURB>R,MAH>R>SHTRA,,27,"486",723808.46522899996,5736401138.56000041962,235,0,0
N>SHIK,MAH>R>SHTRA,,27,"487",897467.63809799997,14979851771.60000038147,621,0,0
